filepath,filename,class_label,class_index,split,width,height,size_bytes,sha256
data/raw/NEU-CLS/NEU-CLS/Cr_195.bmp,Cr_195.bmp,crazing,0,train,200,200,41078,fbbc87379ee257902e59b2e773e3b48a856ffc9dfae10fa9f4ea92852580375b
data/raw/NEU-CLS/NEU-CLS/Cr_44.bmp,Cr_44.bmp,crazing,0,train,200,200,41078,7f7f1211e26e4f487f787555a3d24353fd2ff895cc36a7aa0a646bae6e7dc569
data/raw/NEU-CLS/NEU-CLS/Cr_132.bmp,Cr_132.bmp,crazing,0,train,200,200,41078,dfae30f6e5306418b3e814cf90f1035e45bd3c027c459140562e728fef07c75f
data/raw/NEU-CLS/NEU-CLS/Cr_18.bmp,Cr_18.bmp,crazing,0,train,200,200,41078,a4337d4b051c8f47d203b22911a2b0fd5e5b61ace5b673aece788fc450e0a22b
data/raw/NEU-CLS/NEU-CLS/Cr_128.bmp,Cr_128.bmp,crazing,0,train,200,200,41078,8d520e1bef9f115b4670ff12af4de92b624dbd629ac27c2f1dbbb863c424e2f2
data/raw/NEU-CLS/NEU-CLS/Cr_54.bmp,Cr_54.bmp,crazing,0,train,200,200,41078,88fdb3694a7043b4e111e20531d444ef0ba2e10db0649185c6bb8c5409723b2a
data/raw/NEU-CLS/NEU-CLS/Cr_272.bmp,Cr_272.bmp,crazing,0,train,200,200,41078,f3e76a9a4f877ea8fc67bcf52fd26362614d532d11d23f0cbc60c12e335f1a4d
data/raw/NEU-CLS/NEU-CLS/Cr_207.bmp,Cr_207.bmp,crazing,0,train,200,200,41078,76775d813b3450b3d54283255d111b0c26322cdec43fc3d1890fbd7345dc2ea9
data/raw/NEU-CLS/NEU-CLS/Cr_116.bmp,Cr_116.bmp,crazing,0,train,200,200,41078,f1c4876c4bdfafe9c61d6d41a2372e9e1b5856f5bbe03dd3bd2b6aeba82eac1a
data/raw/NEU-CLS/NEU-CLS/Cr_31.bmp,Cr_31.bmp,crazing,0,train,200,200,41078,b1c58d9068e59414076eea9d810c39d393fd4fd9cc429a656e6dc9379a64d09f
data/raw/NEU-CLS/NEU-CLS/Cr_120.bmp,Cr_120.bmp,crazing,0,train,200,200,41078,1f5d2037ac3e1e7da203352fdb4341f59ef27f3afe5df08c622e7e43192d3285
data/raw/NEU-CLS/NEU-CLS/Cr_95.bmp,Cr_95.bmp,crazing,0,train,200,200,41078,b95602376a6e4bd8fc8ab0c2e3c5cd023b6ae6efafd23587f1c1ecfbe2c1eede
data/raw/NEU-CLS/NEU-CLS/Cr_192.bmp,Cr_192.bmp,crazing,0,train,200,200,41078,c88c9c23d48a61c379ba95d42c043c05b7d5ca54a833f24c59077bd46b0df6b7
data/raw/NEU-CLS/NEU-CLS/Cr_298.bmp,Cr_298.bmp,crazing,0,train,200,200,41078,4aea354a5f08b59e7fc2e737d659db8b6dfd86a311a87181107fd14fb962de16
data/raw/NEU-CLS/NEU-CLS/Cr_284.bmp,Cr_284.bmp,crazing,0,train,200,200,41078,3b01d32b98f7c66999acdafd55758cb757e02d6da78921477781c5fb3f574979
data/raw/NEU-CLS/NEU-CLS/Cr_97.bmp,Cr_97.bmp,crazing,0,train,200,200,41078,9119f6f34eb542e0a44a66feee97cd1814537e3fe0d487373f0b78b2b89a072c
data/raw/NEU-CLS/NEU-CLS/Cr_91.bmp,Cr_91.bmp,crazing,0,train,200,200,41078,2d2706eecf1275c09373670fba82ec3a062fd785ae73b83ffadb6175db563ff0
data/raw/NEU-CLS/NEU-CLS/Cr_133.bmp,Cr_133.bmp,crazing,0,train,200,200,41078,55a36ff5e34a0769e2d5833ac4ccacea00e270b5c71dcd40ebb41d4f3de832ec
data/raw/NEU-CLS/NEU-CLS/Cr_241.bmp,Cr_241.bmp,crazing,0,train,200,200,41078,014b61daff3925e27776da5cb09572307a9c436adca71ab6d7d3c8569e2de20a
data/raw/NEU-CLS/NEU-CLS/Cr_255.bmp,Cr_255.bmp,crazing,0,train,200,200,41078,eab30248b83ea68000e513abc6f39d52a78ca371eaad67d6a724e82750b646e6
data/raw/NEU-CLS/NEU-CLS/Cr_5.bmp,Cr_5.bmp,crazing,0,train,200,200,41078,dd62e810d7d4365ef45092633dff642a212e76103f4082e7ff20365f91fbf68d
data/raw/NEU-CLS/NEU-CLS/Cr_10.bmp,Cr_10.bmp,crazing,0,train,200,200,41078,744b28b616da924afcf1282b40b6f61e4b5ebfe6ad8d90ace9099c5a3fa10824
data/raw/NEU-CLS/NEU-CLS/Cr_300.bmp,Cr_300.bmp,crazing,0,train,200,200,41078,47f2b2aaf4f5bc25469e128896a825c913df5e11ff32f10b35409946b2a8f693
data/raw/NEU-CLS/NEU-CLS/Cr_55.bmp,Cr_55.bmp,crazing,0,train,200,200,41078,e9551714632bf1a717a038366c72ec5a32f2733dcad1e073cf034b0627d200d2
data/raw/NEU-CLS/NEU-CLS/Cr_229.bmp,Cr_229.bmp,crazing,0,train,200,200,41078,07fc9daa89f1b65844bad18de604bba484df3ae37e30dd91d47ad30257bdd6cc
data/raw/NEU-CLS/NEU-CLS/Cr_219.bmp,Cr_219.bmp,crazing,0,train,200,200,41078,07450a4e47e99fee917e4c8ac001b637af90bebcaedcad6b841cf45e276f1a5e
data/raw/NEU-CLS/NEU-CLS/Cr_50.bmp,Cr_50.bmp,crazing,0,train,200,200,41078,1ca4a8529d80b0fc5c31b64f6558750e1f98eb0087941254199ff9178830ca46
